ma_sach,ten_sach,ten_tac_gia,mo_ta,ngay_xuat_ban,so_luong_ton_kho,ngay_tao,vi_tri,the_loai
CT0000001,Benztropine Mesylate,Barbara-anne Wooffitt,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero.",7/28/2021,5,1/10/2021,1,1
CT0000002,Western Water Hemp,Mickie Haugeh,"Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.",6/25/2021,7,3/10/2021,2,1
CT0000003,Doxepin Hydrochloride,Marius Revington,"Fusce consequat. Nulla nisl. Nunc nisl.

Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum.",7/5/2021,59,1/6/2021,3,1
CT0000004,Proforce Commercial Products,Randi Gutteridge,Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio.,1/27/2021,36,4/30/2021,4,1
CT0000005,Guaifenesin,Winnie Gott,"Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.

Sed ante. Vivamus tortor. Duis mattis egestas metus.

Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.",9/24/2021,73,10/4/2021,5,1
KH0000001,Joints and Muscles Pain Relieving,Grace Lindenboim,Fusce consequat. Nulla nisl. Nunc nisl.,6/25/2021,98,11/13/2021,6,2
KH0000002,LISINOPRIL AND HYDROCHLOROTHIAZIDE,Malorie Diggles,"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus.

Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam.",11/20/2021,19,1/8/2021,7,2
KH0000003,Fentanyl Citrate,Suzi Ferrige,"Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.

Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.

Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.",1/28/2021,51,10/1/2021,8,2
KH0000004,babies r us infants pain and fever,Aubrette Jacobowitz,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.

Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.",2/21/2021,39,10/3/2021,9,2
KH0000005,Norethindrone Acetate,June Killner,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui.

Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti.

Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.",1/11/2021,94,7/15/2021,10,2
KT0000001,Anti-Bacterial Hand Sanitizer,Corina Heynel,In congue. Etiam justo. Etiam pretium iaculis justo.,1/5/2021,75,10/4/2021,11,3
KT0000002,Hydrogen Peroxide,Yale Craine,"Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.

Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.",1/24/2021,71,12/8/2021,12,3
KT0000003,Glytone acne cleansing toner,Larry Davidou,Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.,5/6/2021,47,4/7/2021,13,3
KT0000004,napoleon PERDIS SHEER GENIUS LIQUID FOUNDATION BROAD SPECTRUM SPF 20 Look 3,Roberta Mattussevich,"Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.

Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit.",6/9/2021,50,12/31/2021,14,3
KT0000005,Diltiazem Hydrochloride,Adrianne Heffer,"Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.",6/26/2021,1,12/19/2021,15,3
VH0000001,Ambien CR,Karola Getcliff,"Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.

In congue. Etiam justo. Etiam pretium iaculis justo.

In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus.",10/4/2021,91,5/30/2021,16,4
VH0000002,Cardizem LA,Holli Haythorn,Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.,12/19/2021,68,11/15/2021,17,4
VH0000003,ROBINIA PSEUDOACACIA POLLEN,Shep Miliffe,"Phasellus in felis. Donec semper sapien a libero. Nam dui.

Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius.

Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi.",8/8/2021,53,2/27/2021,18,4
VH0000004,Vaporizing Chest,Les Treat,In congue. Etiam justo. Etiam pretium iaculis justo.,10/11/2021,12,5/2/2021,19,4
